HW Name,HW CPU, HW Mem, HW Netz, VMs, VMs CPU, VMs Mem, VMs Netz
HW 1,23,4075,2819,VM 1 ,2,2887,434
HW 2,14,23679,1726,VM 2 ,3,2063,498
HW 3,29,16546,4828,VM 3 ,1,694,106
HW 4,35,43999,1966,VM 4 ,1,4437,10
HW 5,20,22688,867,VM 5 ,1,4635,449
HW 6,21,9146,298,VM 6 ,1,2620,295
HW 7,32,8758,2160,VM 7 ,4,3432,480
HW 8,44,19163,1414,VM 8 ,2,2278,29
HW 9,40,34182,2812,VM 9 ,1,1455,284
HW 10,16,44151,4407,VM 10 ,1,3590,180
HW 11,9,49769,344,VM 11 ,3,2702,179
HW 12,16,15021,4022,VM 12 ,1,1714,57
HW 13,29,41618,3658,VM 13 ,1,4551,79
HW 14,33,13983,685,VM 14 ,4,3591,329
HW 15,11,47487,4613,VM 15 ,1,877,317
HW 16,38,16795,2043,VM 16 ,4,1574,149
HW 17,36,26512,1453,VM 17 ,1,1790,10
HW 18,7,4808,2868,VM 18 ,3,4528,10
HW 19,15,15630,19,VM 19 ,4,1543,427
HW 20,38,46503,3848,VM 20 ,3,1973,458
HW 21,47,42483,4187,VM 21 ,4,4475,248
HW 22,24,35905,3449,VM 22 ,4,1207,367
HW 23,22,2971,1888,VM 23 ,4,2455,232
HW 24,15,42696,3879,VM 24 ,4,986,165
HW 25,13,34897,45,VM 25 ,1,3363,379
HW 26,20,46219,4409,VM 26 ,2,4007,131
HW 27,10,37414,316,VM 27 ,2,2360,255
HW 28,30,21196,375,VM 28 ,1,2565,126
HW 29,23,49448,813,VM 29 ,3,3062,400
HW 30,9,16740,2969,VM 30 ,1,4235,267
HW 31,7,11120,4494,VM 31 ,1,243,10
HW 32,33,5230,56,VM 32 ,4,4174,140
HW 33,25,7849,1250,VM 33 ,4,1196,313
HW 34,49,3271,2445,VM 34 ,4,752,140
HW 35,3,31777,3349,VM 35 ,4,2785,449
HW 36,15,21187,4029,VM 36 ,4,2186,488
HW 37,34,23793,1916,VM 37 ,1,2134,157
HW 38,42,39299,471,VM 38 ,2,2776,231
HW 39,1,18662,3923,VM 39 ,1,1589,171
HW 40,21,31311,4648,VM 40 ,1,2414,377
HW 41,23,7022,4348,VM 41 ,2,4558,288
HW 42,39,46146,1945,VM 42 ,1,2443,122
HW 43,30,30405,3053,VM 43 ,1,1175,123
HW 44,1,16843,4086,VM 44 ,1,2356,357
HW 45,13,7643,631,VM 45 ,1,2692,432
HW 46,47,7083,2194,VM 46 ,1,1673,217
HW 47,42,24293,1285,VM 47 ,3,1708,464
HW 48,2,34577,1786,VM 48 ,4,802,476
HW 49,35,36910,4230,VM 49 ,1,2714,253
HW 50,8,23915,1853,VM 50 ,3,1270,46
HW 51,23,14609,526,VM 51 ,1,2009,476
HW 52,49,46397,4915,VM 52 ,1,4314,129
HW 53,45,14385,536,VM 53 ,1,3601,400
HW 54,16,28470,4028,VM 54 ,1,837,467
HW 55,29,19761,3753,VM 55 ,2,3605,140
HW 56,47,15138,3296,VM 56 ,2,3850,439
HW 57,26,34797,3870,VM 57 ,1,525,215
HW 58,46,17577,1290,VM 58 ,1,1156,178
HW 59,6,15018,1113,VM 59 ,2,320,360
HW 60,22,21158,3187,VM 60 ,3,3359,413
HW 61,6,21039,2659,VM 61 ,1,3870,449
HW 62,19,18449,19,VM 62 ,1,1031,150
HW 63,16,39317,1986,VM 63 ,2,291,441
HW 64,17,32104,2566,VM 64 ,4,622,265
HW 65,37,32490,1277,VM 65 ,1,2950,10
HW 66,35,21896,2542,VM 66 ,1,3323,377
HW 67,29,41002,2036,VM 67 ,4,3259,255
HW 68,33,3790,4399,VM 69 ,3,694,398
HW 69,18,30359,428,VM 68 ,3,3866,350
HW 70,24,43510,3423,VM 70 ,1,4968,301
HW 71,17,38412,2974,VM 71 ,2,528,141
HW 72,25,2606,3624,VM 72 ,2,779,88
HW 73,26,13861,3160,VM 73 ,2,3729,272
HW 74,40,37852,134,VM 74 ,4,3177,237
HW 75,42,16992,619,VM 75 ,4,3145,389
HW 76,37,19625,3303,VM 76 ,1,4531,488
HW 77,35,32938,434,VM 77 ,1,1670,352
HW 78,32,47746,173,VM 78 ,3,4771,317
HW 79,18,35041,3983,VM 79 ,1,589,203
HW 80,13,43520,623,VM 80 ,4,4192,43
HW 81,13,4706,3817,VM 82 ,2,2687,168
HW 82,10,20055,1498,VM 81 ,3,4803,464
HW 83,8,15330,4434,VM 83 ,2,2608,357
HW 84,19,23475,4065,VM 84 ,4,4568,225
HW 85,34,12089,3131,VM 85 ,1,867,208
HW 86,27,10783,946,VM 86 ,4,3143,423
HW 87,21,9643,4531,VM 87 ,1,751,230
HW 88,4,34608,4210,VM 88 ,1,2990,180
HW 89,46,43964,3987,VM 89 ,2,4258,29
HW 90,49,35954,1022,VM 90 ,1,3726,125
HW 91,19,37807,912,VM 91 ,2,3688,225
HW 92,22,6899,2271,VM 92 ,4,2890,418
HW 93,20,46772,3834,VM 93 ,4,4650,463
HW 94,9,605,4200,VM 132 ,1,278,49
HW 95,20,21936,4590,VM 94 ,1,1794,131
HW 96,31,44276,2488,VM 95 ,3,1517,499
HW 97,19,47803,659,VM 96 ,4,1190,346
HW 98,25,6176,506,VM 97 ,1,1833,379
HW 99,49,10533,235,VM 98 ,1,4053,344
HW 100,15,43394,2093,VM 99 ,1,3978,224
