HW Name,HW CPU, HW Mem, HW Netz, VMs, VMs CPU, VMs Mem, VMs Netz
HW 1,23,4075,2819,,0,0,0
HW 2,14,23679,1726,,0,0,0
HW 3,29,16546,4828,VM 949 ,1,673,84
HW 4,35,43999,1966,,0,0,0
HW 5,20,22688,867,,0,0,0
HW 6,21,9146,298,VM 628 ,3,458,481
HW 7,32,8758,2160,,0,0,0
HW 8,44,19163,1414,VM 771 VM 940 ,6,5292,470
HW 9,40,34182,2812,VM 426 ,1,2093,34
HW 10,16,44151,4407,,0,0,0
HW 11,9,49769,344,VM 570 ,3,3639,19
HW 12,16,15021,4022,VM 171 ,2,4667,324
HW 13,29,41618,3658,,0,0,0
HW 14,33,13983,685,VM 56 VM 750 ,4,4735,477
HW 15,11,47487,4613,,0,0,0
HW 16,38,16795,2043,VM 348 ,2,100,10
HW 17,36,26512,1453,,0,0,0
HW 18,7,4808,2868,,0,0,0
HW 19,15,15630,19,,0,0,0
HW 20,38,46503,3848,VM 1 VM 504 VM 958 ,7,7519,899
HW 21,47,42483,4187,VM 611 ,1,1000,329
HW 22,24,35905,3449,VM 11 VM 371 ,4,5775,585
HW 23,22,2971,1888,VM 204 ,4,618,88
HW 24,15,42696,3879,VM 892 ,4,4977,359
HW 25,13,34897,45,,0,0,0
HW 26,20,46219,4409,VM 506 ,1,3847,172
HW 27,10,37414,316,,0,0,0
HW 28,30,21196,375,VM 293 VM 396 ,7,3986,463
HW 29,23,49448,813,,0,0,0
HW 30,9,16740,2969,VM 220 VM 444 ,2,2153,382
HW 31,7,11120,4494,VM 359 VM 552 VM 867 VM 876 ,8,8029,1342
HW 32,33,5230,56,VM 22 ,4,1207,367
HW 33,25,7849,1250,,0,0,0
HW 34,49,3271,2445,VM 229 VM 485 VM 599 ,6,9976,491
HW 35,3,31777,3349,,0,0,0
HW 36,15,21187,4029,VM 375 VM 621 VM 790 ,4,3480,563
HW 37,34,23793,1916,VM 819 VM 992 ,5,4126,555
HW 38,42,39299,471,VM 370 ,1,2556,44
HW 39,1,18662,3923,VM 122 ,2,4242,211
HW 40,21,31311,4648,,0,0,0
HW 41,23,7022,4348,VM 452 ,1,2352,181
HW 42,39,46146,1945,VM 945 ,4,3732,248
HW 43,30,30405,3053,VM 441 ,4,1375,309
HW 44,1,16843,4086,,0,0,0
HW 45,13,7643,631,VM 881 ,1,2469,135
HW 46,47,7083,2194,VM 686 ,1,2355,393
HW 47,42,24293,1285,VM 617 ,4,700,490
HW 48,2,34577,1786,,0,0,0
HW 49,35,36910,4230,VM 823 VM 948 ,4,6714,531
HW 50,8,23915,1853,VM 985 ,1,531,472
HW 51,23,14609,526,VM 14 VM 753 ,6,6878,522
HW 52,49,46397,4915,,0,0,0
HW 53,45,14385,536,,0,0,0
HW 54,16,28470,4028,VM 608 ,1,3335,159
HW 55,29,19761,3753,VM 337 VM 498 ,4,4811,669
HW 56,47,15138,3296,VM 404 VM 863 ,3,4404,243
HW 57,26,34797,3870,VM 23 VM 156 ,5,5505,546
HW 58,46,17577,1290,,0,0,0
HW 59,6,15018,1113,,0,0,0
HW 60,22,21158,3187,,0,0,0
HW 61,6,21039,2659,,0,0,0
HW 62,19,18449,19,VM 421 ,3,320,218
HW 63,16,39317,1986,,0,0,0
HW 64,17,32104,2566,VM 696 ,2,100,208
HW 65,37,32490,1277,VM 525 ,3,1683,485
HW 66,35,21896,2542,VM 374 VM 942 ,5,3805,563
HW 67,29,41002,2036,,0,0,0
HW 68,33,3790,4399,VM 161 VM 722 ,5,5631,199
HW 69,18,30359,428,,0,0,0
HW 70,24,43510,3423,,0,0,0
HW 71,17,38412,2974,,0,0,0
HW 72,25,2606,3624,VM 240 VM 778 ,5,2690,255
HW 73,26,13861,3160,,0,0,0
HW 74,40,37852,134,VM 132 ,1,278,49
HW 75,42,16992,619,VM 203 ,3,3210,61
HW 76,37,19625,3303,VM 456 ,3,1280,235
HW 77,35,32938,434,VM 223 VM 434 ,7,3633,612
HW 78,32,47746,173,VM 748 ,3,288,341
HW 79,18,35041,3983,VM 990 ,4,2277,461
HW 80,13,43520,623,,0,0,0
HW 81,13,4706,3817,,0,0,0
HW 82,10,20055,1498,,0,0,0
HW 83,8,15330,4434,,0,0,0
HW 84,19,23475,4065,VM 642 ,4,2743,469
HW 85,34,12089,3131,VM 654 VM 919 ,7,3731,467
HW 86,27,10783,946,,0,0,0
HW 87,21,9643,4531,VM 548 ,4,3698,28
HW 88,4,34608,4210,VM 395 ,1,215,174
HW 89,46,43964,3987,VM 604 ,1,2936,95
HW 90,49,35954,1022,VM 71 VM 808 ,6,4275,271
HW 91,19,37807,912,VM 619 ,2,2367,121
HW 92,22,6899,2271,,0,0,0
HW 93,20,46772,3834,,0,0,0
HW 94,9,605,4200,,0,0,0
HW 95,20,21936,4590,VM 59 VM 302 VM 953 ,4,9259,752
HW 96,31,44276,2488,VM 320 ,3,4503,25
HW 97,19,47803,659,VM 138 VM 174 ,5,3675,446
HW 98,25,6176,506,VM 365 ,1,2851,298
HW 99,49,10533,235,,0,0,0
HW 100,15,43394,2093,VM 417 VM 848 ,2,5591,853
HW 101,36,30354,656,VM 560 ,1,2518,149
HW 102,17,46866,3869,VM 183 ,2,1075,162
HW 103,13,15610,3433,,0,0,0
HW 104,45,21680,542,VM 464 ,1,2864,142
HW 105,6,40611,91,VM 489 ,1,4146,256
HW 106,9,7832,303,,0,0,0
HW 107,37,19291,1566,VM 181 ,2,1583,31
HW 108,11,31456,3218,VM 997 ,4,3733,84
HW 109,10,35454,2229,,0,0,0
HW 110,22,22773,1583,VM 86 VM 768 ,8,6334,585
HW 111,37,44250,4823,VM 277 ,2,1348,17
HW 112,22,21368,3732,,0,0,0
HW 113,49,39401,2524,VM 683 ,2,2287,245
HW 114,26,35127,1667,,0,0,0
HW 115,41,25013,3925,VM 76 VM 158 VM 859 ,6,14304,910
HW 116,5,7984,3383,VM 172 VM 685 ,3,8428,387
HW 117,15,17667,4353,VM 242 ,1,1005,122
HW 118,40,36133,4589,VM 249 ,4,617,213
HW 119,44,14412,466,VM 898 ,1,4262,157
HW 120,46,39184,1235,,0,0,0
HW 121,30,40664,3354,,0,0,0
HW 122,41,24107,2100,,0,0,0
HW 123,44,11546,4269,VM 691 ,1,2306,434
HW 124,26,16991,3593,,0,0,0
HW 125,34,13428,933,VM 51 VM 711 ,3,5393,885
HW 126,32,42634,1770,VM 35 VM 44 VM 151 ,6,7965,820
HW 127,29,4230,4921,VM 517 VM 564 ,5,3122,206
HW 128,15,645,2533,VM 115 VM 533 ,3,3872,433
HW 129,19,21188,1738,,0,0,0
HW 130,40,10883,1700,VM 75 VM 860 ,6,7248,630
HW 131,34,30335,1587,,0,0,0
HW 132,1,31072,4378,,0,0,0
HW 133,40,49795,823,VM 342 VM 816 ,2,4458,73
HW 134,24,6967,1407,VM 626 ,1,2640,269
HW 135,4,28469,1394,,0,0,0
