HW Name,HW CPU, HW Mem, HW Netz, VMs, VMs CPU, VMs Mem, VMs Netz
HW 1,33,1076,4874,,0,0,0
HW 2,41,43183,2228,,0,0,0
HW 3,40,9826,1397,,0,0,0
HW 4,46,2473,3463,,0,0,0
HW 5,5,26346,2347,,0,0,0
HW 6,49,5578,2116,,0,0,0
HW 7,48,15145,257,,0,0,0
HW 8,24,21675,1646,,0,0,0
HW 9,25,19857,1023,,0,0,0
HW 10,30,5938,2527,,0,0,0
HW 11,31,19895,3953,,0,0,0
HW 12,20,6398,4770,,0,0,0
HW 13,27,12555,1440,,0,0,0
HW 14,48,46984,4074,,0,0,0
HW 15,19,47908,202,,0,0,0
HW 16,23,29194,4310,,0,0,0
HW 17,44,30908,753,,0,0,0
HW 18,48,20522,1240,,0,0,0
HW 19,48,32108,1002,,0,0,0
HW 20,28,11898,4272,,0,0,0
HW 21,42,24785,3232,,0,0,0
HW 22,45,14468,3872,,0,0,0
HW 23,36,43972,1482,,0,0,0
HW 24,23,12596,2918,,0,0,0
HW 25,8,49856,1841,,0,0,0
HW 26,43,41412,10,,0,0,0
HW 27,49,49638,2748,,0,0,0
HW 28,11,34041,4565,,0,0,0
HW 29,15,44508,2873,,0,0,0
HW 30,34,43194,1954,,0,0,0
HW 31,49,20837,3153,,0,0,0
HW 32,30,40511,1430,,0,0,0
HW 33,15,1665,2359,,0,0,0
HW 34,4,3110,854,,0,0,0
HW 35,31,38483,914,,0,0,0
HW 36,31,2775,967,,0,0,0
HW 37,46,7236,4475,,0,0,0
HW 38,1,48069,3735,,0,0,0
HW 39,37,22281,1848,,0,0,0
HW 40,36,21936,3241,,0,0,0
HW 41,1,49200,3591,,0,0,0
HW 42,45,47034,2777,,0,0,0
HW 43,45,1231,4184,,0,0,0
HW 44,40,12446,572,,0,0,0
HW 45,18,44534,2822,,0,0,0
HW 46,29,9625,2496,,0,0,0
HW 47,16,7312,2948,,0,0,0
HW 48,46,2606,2937,,0,0,0
HW 49,28,35359,3048,,0,0,0
HW 50,21,9705,3209,,0,0,0
HW 51,38,28026,4276,,0,0,0
HW 52,30,37230,2498,,0,0,0
HW 53,24,20751,2251,,0,0,0
HW 54,36,3132,2580,,0,0,0
HW 55,33,42773,263,,0,0,0
HW 56,12,42038,4095,,0,0,0
HW 57,30,16700,830,,0,0,0
HW 58,42,26720,1743,,0,0,0
HW 59,45,43269,2472,,0,0,0
HW 60,21,32632,573,,0,0,0
HW 61,44,23652,4122,,0,0,0
HW 62,17,6677,3182,,0,0,0
HW 63,15,49413,2180,,0,0,0
HW 64,8,22622,2484,,0,0,0
HW 65,2,28991,3852,,0,0,0
HW 66,48,19502,4399,,0,0,0
HW 67,23,29121,2672,,0,0,0
HW 68,21,5645,945,,0,0,0
HW 69,37,30619,492,,0,0,0
HW 70,33,36462,4284,,0,0,0
HW 71,39,13705,3461,,0,0,0
HW 72,25,4630,255,,0,0,0
HW 73,9,37614,3693,,0,0,0
HW 74,15,44325,3158,,0,0,0
HW 75,27,19355,3312,,0,0,0
HW 76,1,48689,3326,,0,0,0
HW 77,16,34614,2895,,0,0,0
HW 78,12,20052,2507,,0,0,0
HW 79,7,40245,3161,,0,0,0
HW 80,32,3502,2991,,0,0,0
HW 81,36,38257,87,,0,0,0
HW 82,26,45596,1662,,0,0,0
HW 83,43,19615,1702,,0,0,0
HW 84,21,44968,874,,0,0,0
HW 85,31,26579,1348,,0,0,0
HW 86,17,30818,954,,0,0,0
HW 87,16,32017,351,,0,0,0
HW 88,11,28281,2725,,0,0,0
HW 89,49,35809,3300,,0,0,0
HW 90,21,17899,4254,,0,0,0
HW 91,4,22642,621,,0,0,0
HW 92,5,15326,4925,,0,0,0
HW 93,5,43444,4994,,0,0,0
HW 94,24,19327,3302,,0,0,0
HW 95,40,48333,601,,0,0,0
HW 96,45,32567,1261,,0,0,0
HW 97,48,41912,4932,,0,0,0
HW 98,17,43787,1773,,0,0,0
HW 99,22,49506,3234,,0,0,0
HW 100,4,39252,2068,,0,0,0
HW 101,24,3444,1989,VM 1 ,2,2887,434
HW 102,49,39901,3720,VM 2 ,3,2063,498
HW 103,33,2756,2418,VM 3 ,1,694,106
HW 104,35,41843,4429,VM 4 ,1,4437,10
HW 105,25,44076,2879,VM 5 ,1,4635,449
HW 106,47,36805,3778,VM 6 ,1,2620,295
HW 107,1,10422,3667,VM 7 ,4,3432,480
