HW Name,HW CPU, HW Mem, HW Netz, VMs, VMs CPU, VMs Mem, VMs Netz
HW 1,28,40119,4138,VM 10 VM 62 VM 134 VM 512 VM 590 VM 953 ,9,20005,1101
HW 2,43,15343,3180,VM 58 VM 160 VM 206 VM 234 VM 247 VM 343 VM 370 VM 767 VM 814 ,17,23882,1799
HW 3,40,14104,3437,VM 185 VM 216 VM 237 VM 374 VM 619 VM 736 ,12,16798,1434
HW 4,2,26349,2175,VM 209 VM 359 VM 376 VM 409 VM 457 VM 725 VM 780 VM 793 ,13,21044,1706
HW 5,12,8800,748,VM 73 VM 140 VM 145 VM 411 VM 544 VM 704 VM 798 VM 805 VM 846 VM 874 VM 901 VM 945 VM 977 ,30,34209,3117
HW 6,3,7171,2445,VM 149 VM 226 VM 255 VM 337 VM 602 VM 638 VM 651 VM 717 VM 879 VM 920 ,22,27618,2960
HW 7,9,4673,4799,VM 60 VM 153 VM 233 VM 295 VM 326 VM 404 VM 453 VM 478 VM 510 VM 531 VM 620 VM 873 VM 984 ,29,38326,4165
HW 8,34,49689,4375,VM 188 VM 314 VM 347 VM 517 ,8,6038,1021
HW 9,39,12648,4137,VM 6 VM 80 VM 98 VM 204 VM 540 VM 568 VM 607 VM 759 VM 822 VM 841 VM 952 ,21,28053,1883
HW 10,15,22903,2541,VM 32 VM 70 VM 121 VM 177 VM 192 VM 215 VM 281 VM 322 VM 345 VM 397 VM 458 VM 491 VM 548 VM 552 VM 830 VM 913 ,35,48513,3592
HW 11,46,29741,4883,VM 94 VM 165 VM 276 VM 313 VM 358 VM 418 VM 443 VM 581 VM 591 VM 609 VM 781 VM 812 VM 911 VM 915 ,34,36064,4783
HW 12,38,28878,698,VM 125 VM 154 VM 187 VM 198 VM 320 VM 353 VM 447 VM 565 VM 771 VM 792 VM 868 VM 974 VM 982 ,32,40670,2369
HW 13,6,26575,1054,VM 122 VM 205 VM 242 VM 316 VM 342 VM 486 VM 630 VM 718 VM 729 ,16,22877,2273
HW 14,17,9399,2189,VM 214 VM 230 VM 303 VM 417 VM 588 VM 637 VM 669 ,16,19205,2281
HW 15,2,3145,4825,VM 118 VM 138 VM 261 VM 266 VM 441 VM 660 VM 777 VM 958 ,17,19865,1851
HW 16,43,27993,4207,VM 222 VM 415 VM 444 VM 549 VM 670 VM 784 VM 815 VM 857 VM 994 ,19,26863,2100
HW 17,5,36009,2162,VM 181 VM 186 VM 284 VM 340 VM 423 VM 495 VM 785 VM 840 ,21,15211,2684
HW 18,43,44618,2118,VM 17 VM 249 VM 317 VM 635 VM 999 ,13,7501,812
HW 19,6,38896,1107,VM 5 VM 55 VM 218 VM 310 VM 513 VM 545 VM 628 VM 629 VM 641 VM 797 VM 847 VM 852 VM 976 ,26,32392,4308
HW 20,26,27790,3068,VM 53 VM 64 VM 464 VM 542 VM 605 VM 948 VM 996 ,12,22348,1899
HW 21,24,32249,1941,VM 116 VM 129 VM 191 VM 327 VM 498 VM 625 VM 683 VM 967 ,18,15521,2790
HW 22,7,22113,2190,VM 2 VM 27 VM 179 VM 200 VM 268 VM 644 VM 679 VM 804 VM 825 ,24,20412,2106
